,Unnamed: 0,X,Y,LSOA code,Unnamed: 0.1,Local authority name,Local authority code,MSOA name,MSOA code,LSOA name,Total_number_of_domestic_electricity_meters,Total_domestic_electricity_consumption_kWh,Predicted_Electricity_Consumption_kWH,Mean_domestic_electricity_consumption_kWh_per_meter,Median_domestic_electricity_consumption_kWh_per_meter,Year,Ratio_Consumption_per_Meter,Mean_price_paid
57992,3616,335996.55700000003,394381.322,E01006614,64435.0,Liverpool,E08000012,Liverpool 012,E02001358,Liverpool 012B,692.0,1854746.375,2819.007959754545,2680.2693280000008,2332.5,2015.0,2680.269328034682,48311.24639275
59519,4537,342829.695,386804.854,E01006798,66132.0,Liverpool,E08000012,Liverpool 051,E02001397,Liverpool 051D,621.0,2555113.5,3832.3044606637127,4114.514493,3293.1,2012.0,4114.514492753623,167176.92917750002
57951,3624,335883.661,394593.593,E01006610,64390.0,Liverpool,E08000012,Liverpool 009,E02001355,Liverpool 009C,701.0,2254596.8,3155.403079077797,3216.2579172610554,2681.45,2010.0,3216.2579172610554,66540.35714275
292568,3012,334501.80100000004,391267.482,E01033751,331136.0,Liverpool,E08000012,Liverpool 062,E02006934,Liverpool 062A,752.0,4520522.538,5780.294779911642,6011.333162,5099.95,2015.0,6011.333162234042,161367.1499725
58437,4568,341524.693,395042.977,E01006670,64930.0,Liverpool,E08000012,Liverpool 007,E02001353,Liverpool 007E,630.0,2762914.9,3951.2060500194634,4385.579206349206,3815.4,2010.0,4385.579206349206,122438.23413
59033,5541,340400.065,383885.972,E01006740,65592.0,Liverpool,E08000012,Liverpool 057,E02001403,Liverpool 057A,600.0,1769435.1,3294.6919398972673,2949.0585,2677.5,2012.0,2949.0585,126134.90575250001
57222,3177,338658.984,387177.575,E01006524,63580.0,Liverpool,E08000012,Liverpool 048,E02001394,Liverpool 048B,624.0,2370270.0,3916.217519287584,3798.509615384615,2579.5,2010.0,3798.509615384615,178013.93246500005
58214,2426,342264.68200000003,391718.088,E01006643,64682.0,Liverpool,E08000012,Liverpool 025,E02001371,Liverpool 025E,761.0,2599642.9,3318.1629438378127,3416.087911,3022.2,2012.0,3416.0879106438897,61967.85714275
292672,4283,337057.281,390341.368,E01033763,331252.0,Liverpool,E08000012,Liverpool 031,E02001377,Liverpool 031G,1132.0,2833190.4,3063.8788176680473,2502.818375,1876.85,2011.0,2502.818374558304,117616.630525
57395,2266,337222.329,393649.965,E01006543,63772.0,Liverpool,E08000012,Liverpool 015,E02001361,Liverpool 015B,519.0,2103977.8,3432.621742985232,4053.9071289999997,3487.5,2012.0,4053.907129094412,105394.28571499999
57603,1811,339976.036,391520.566,E01006569,64003.0,Liverpool,E08000012,Liverpool 029,E02001375,Liverpool 029B,653.0,2361857.9,3584.3787748284767,3616.933997,3142.8,2013.0,3616.933996937213,102528.42547999999
292639,3014,338733.672,394360.135,E01033759,331215.0,Liverpool,E08000012,Liverpool 010,E02001356,Liverpool 010F,775.0,2690429.0,3556.070275082199,3472.0,2872.0,2014.0,3471.521290322581,123468.21172
58323,5200,336915.602,397000.013,E01006657,64803.0,Liverpool,E08000012,Liverpool 002,E02001348,Liverpool 002C,614.0,1932812.7,3238.8978733221693,3147.90342,2677.9,2013.0,3147.90342019544,52538.1493505
57427,2261,336608.985,392904.548,E01006546,63807.0,Liverpool,E08000012,Liverpool 019,E02001365,Liverpool 019B,657.0,2249455.917,2656.184373499483,3423.829401,2619.5,2017.0,3423.8294018264837,57062.0223215
292591,3007,334641.516,389648.95,E01033754,331162.0,Liverpool,E08000012,Liverpool 061,E02006933,Liverpool 061B,1012.0,5859673.6,5957.358243073263,5790.191304,4947.1,2011.0,5790.1913043478235,146445.93803249998
58015,3614,339384.321,393075.674,E01006617,64461.0,Liverpool,E08000012,Liverpool 021,E02001367,Liverpool 021A,648.0,2383423.4,3618.838608383967,3678.1225310000004,3149.35,2011.0,3678.122530864197,117960.4166675
57942,2721,336397.62700000004,394581.444,E01006609,64380.0,Liverpool,E08000012,Liverpool 009,E02001355,Liverpool 009B,624.0,2275068.8,3378.0722956652435,3645.9435897435897,3244.2,2010.0,3645.9435897435897,75518.22916675
57313,5487,340473.633,385934.433,E01006534,63681.0,Liverpool,E08000012,Liverpool 054,E02001400,Liverpool 054A,662.0,2574337.7,3799.163930937931,3888.7276439999996,3417.6,2011.0,3888.727643504532,167621.71703499998
59492,4524,342172.104,386922.604,E01006795,66102.0,Liverpool,E08000012,Liverpool 051,E02001397,Liverpool 051B,640.0,2663501.1,3889.8126128107087,4161.720469,3401.55,2012.0,4161.72046875,177693.92587
57817,3487,339161.112,388193.792,E01006593,64241.0,Liverpool,E08000012,Liverpool 042,E02001388,Liverpool 042E,616.0,2145051.7,3455.6890632009204,3482.2267859999997,2945.5,2011.0,3482.226785714286,158112.41546
58514,4574,336267.493,387948.691,E01006678,65015.0,Liverpool,E08000012,Liverpool 044,E02001390,Liverpool 044E,1020.0,2668769.0,2907.327973590683,2616.440196,2239.7,2015.0,2616.440196078431,99218.88889
59367,1898,336520.344,397283.378,E01006780,65963.0,Liverpool,E08000012,Liverpool 002,E02001348,Liverpool 002D,667.0,2458007.0,3501.5556319700145,3685.1679159999994,3090.5,2013.0,3685.167916041979,107072.743055
57458,5070,338399.785,388577.117,E01006550,63842.0,Liverpool,E08000012,Liverpool 038,E02001384,Liverpool 038A,600.0,2262270.9,3456.4691147539456,3770.4515,3191.35,2012.0,3770.4515,128603.8430075
57314,5487,340473.633,385934.433,E01006534,63682.0,Liverpool,E08000012,Liverpool 054,E02001400,Liverpool 054A,662.0,2434092.1,3962.4995443515945,3676.8762840000004,3148.7,2012.0,3676.876283987917,182877.9772725
57161,3484,335219.845,389236.7020000001,E01006515,63512.0,Liverpool,E08000012,Liverpool 037,E02001383,Liverpool 037B,615.0,2372370.6,3471.404633764637,3857.513171,2702.6,2012.0,3857.5131707317073,21104.16666675
57835,3483,339160.615,387712.972,E01006595,64261.0,Liverpool,E08000012,Liverpool 049,E02001395,Liverpool 049B,820.0,2731413.7,3484.9672810477696,3330.992317,2822.25,2011.0,3330.992317073171,165652.35507249998
57971,3620,337445.91799999995,394550.126,E01006612,64412.0,Liverpool,E08000012,Liverpool 008,E02001354,Liverpool 008B,739.0,2132406.8,3071.4523220519172,2885.530176,2555.7,2012.0,2885.530175913397,52625.0
59004,4045,338361.5220000001,395116.424,E01006737,65560.0,Liverpool,E08000012,Liverpool 005,E02001351,Liverpool 005F,571.0,2175657.4,3613.358480395506,3810.2581436077057,3329.95,2010.0,3810.2581436077057,68065.40178575
57373,2267,337318.648,392203.236,E01006540,63747.0,Liverpool,E08000012,Liverpool 024,E02001370,Liverpool 024A,962.0,2368965.983,2526.1179913659507,2462.542602,2021.25,2017.0,2462.542601871102,51798.50432875
58936,3583,338121.286,389558.895,E01006728,65484.0,Liverpool,E08000012,Liverpool 035,E02001381,Liverpool 035E,892.0,2409391.0,2776.86999904931,2701.0,2139.0,2014.0,2701.110986547085,57506.1011905
292724,4289,335882.018,389404.219,E01033768,331309.0,Liverpool,E08000012,Liverpool 037,E02001383,Liverpool 037F,903.0,2244631.662,3252.675049205454,2485.7493489999997,1630.3,2018.0,2485.749348837209,118476.190475
282520,4419,336886.49600000004,395517.603,E01032511,319782.0,Liverpool,E08000012,Liverpool 008,E02001354,Liverpool 008G,627.0,2330757.5,3577.751464450438,3717.316587,3259.4,2011.0,3717.31658692185,91906.09375
59274,5169,342064.636,389245.248,E01006769,65860.0,Liverpool,E08000012,Liverpool 040,E02001386,Liverpool 040B,657.0,1898005.0,3283.875153054596,2888.8964992389647,2464.35,2010.0,2888.8964992389647,89208.3901515
57462,5070,338399.785,388577.117,E01006550,63846.0,Liverpool,E08000012,Liverpool 038,E02001384,Liverpool 038A,577.0,2023651.4,3161.322344443834,3507.1948009999996,2998.0,2016.0,3507.194800693241,166873.8541675
58952,4049,338364.169,394762.225,E01006730,65502.0,Liverpool,E08000012,Liverpool 011,E02001357,Liverpool 011C,547.0,1936579.4,3547.514105897913,3540.364534000001,3140.9,2012.0,3540.364533820841,18104.16666675
57443,2269,336934.24100000004,392453.236,E01006548,63825.0,Liverpool,E08000012,Liverpool 019,E02001365,Liverpool 019D,815.0,2262349.438,2783.157797464436,2775.88888,2408.9,2015.0,2775.8888809815953,54624.68228775
57697,4459,340610.936,389593.554,E01006579,64107.0,Liverpool,E08000012,Liverpool 034,E02001380,Liverpool 034D,632.0,2400027.725,3514.5292744193744,3797.5122229999997,3468.1,2017.0,3797.512223101266,220051.46881500003
57933,2719,336443.225,394760.1370000001,E01006608,64370.0,Liverpool,E08000012,Liverpool 009,E02001355,Liverpool 009A,551.0,1951901.9,3590.825659396892,3542.47168784029,3025.6,2010.0,3542.47168784029,91748.36413575
57986,3622,336853.85799999995,394419.8870000001,E01006613,64428.0,Liverpool,E08000012,Liverpool 009,E02001355,Liverpool 009D,619.0,1806638.4,2924.5691609889677,2918.640388,2461.5,2018.0,2918.6403877221323,90913.75
59079,5538,340286.609,384700.509,E01006745,65643.0,Liverpool,E08000012,Liverpool 057,E02001403,Liverpool 057D,945.0,3311697.9,3320.732236882144,3504.4422219999997,2818.2,2013.0,3504.4422222222224,78184.86576799999
292632,3013,335676.367,390839.728,E01033758,331207.0,Liverpool,E08000012,Liverpool 060,E02006932,Liverpool 060B,421.0,1486008.45,3266.187210031128,3529.7112829999996,2699.3,2016.0,3529.7112826603325,82192.07875449999
58268,5205,337742.255,397691.372,E01006651,64742.0,Liverpool,E08000012,Liverpool 001,E02001347,Liverpool 001A,633.0,2535304.0,3810.3864162596187,4005.2195890000003,3501.0,2012.0,4005.219589257504,157342.5673925
57874,3494,339532.126,394500.796,E01006599,64304.0,Liverpool,E08000012,Liverpool 010,E02001356,Liverpool 010B,540.0,1629110.0,3433.2385664618223,3017.0,2679.0,2014.0,3016.8703703703704,131619.08482249998
292653,4287,334988.968,389795.775,E01033761,331231.0,Liverpool,E08000012,Liverpool 060,E02006932,Liverpool 060D,726.0,4631432.5,5810.880073166595,6379.3836088154285,5864.6,2010.0,6379.3836088154285,109155.05952175
58880,3580,337749.24700000003,389259.77200000006,E01006722,65422.0,Liverpool,E08000012,Liverpool 038,E02001384,Liverpool 038D,649.0,2473183.2,3425.52483644218,3810.759938,3088.5,2012.0,3810.759938366719,94654.47479
57148,3488,335550.76,389900.2020000001,E01006513,63497.0,Liverpool,E08000012,Liverpool 060,E02006932,Liverpool 060A,938.0,6178636.2710000025,5144.644805161202,6587.032271,3752.6,2017.0,6587.032271855011,149024.73764749998
58915,3576,337862.151,389600.931,E01006726,65461.0,Liverpool,E08000012,Liverpool 035,E02001381,Liverpool 035C,676.0,2174010.2,3350.9583613686677,3215.99142,2835.5,2011.0,3215.9914201183433,89643.87506275003
58650,3621,336867.694,391800.279,E01006693,65166.0,Liverpool,E08000012,Liverpool 024,E02001370,Liverpool 024D,870.0,2459258.3,2861.5617777108414,2826.733678,2385.65,2016.0,2826.733678160919,64286.881038499996
57695,4459,340610.936,389593.554,E01006579,64105.0,Liverpool,E08000012,Liverpool 034,E02001380,Liverpool 034D,629.0,2692323.3,3887.9690879044565,4280.323211,3759.4,2015.0,4280.323211446741,209470.8379
282478,1769,336451.699,387403.616,E01032506,319735.0,Liverpool,E08000012,Liverpool 050,E02001396,Liverpool 050G,675.0,2188961.0,3044.3075745762194,3243.0,2625.0,2014.0,3242.905185185185,121033.54295999999
57851,3481,339440.50200000004,387939.45,E01006596,64278.0,Liverpool,E08000012,Liverpool 049,E02001395,Liverpool 049C,593.0,1992350.1,3508.2936021785113,3359.7809439999996,2989.1,2018.0,3359.7809443507595,242114.6730775
59015,4051,340634.25200000004,383691.048,E01006738,65572.0,Liverpool,E08000012,Liverpool 058,E02001404,Liverpool 058A,655.0,2212029.6,3346.6413973165677,3377.144428,2987.9,2012.0,3377.144427480916,72569.1964285
57967,3626,335718.224,394173.931,E01006611,64407.0,Liverpool,E08000012,Liverpool 012,E02001358,Liverpool 012A,799.0,1832808.6919999998,2451.7204260261656,2293.878212,1893.8,2017.0,2293.878212765957,43139.35338925
58693,3631,335432.518,394574.8270000001,E01006698,65214.0,Liverpool,E08000012,Liverpool 012,E02001358,Liverpool 012D,781.0,2472095.0,2922.079987354123,3165.0,2934.0,2014.0,3165.294494238157,54242.46162275
58388,1924,339986.23299999995,395199.979,E01006664,64875.0,Liverpool,E08000012,Liverpool 004,E02001350,Liverpool 004D,881.0,2850938.538,3232.244071838063,3236.025582,2806.5,2015.0,3236.0255822928493,65319.67126625
59547,4960,342508.106,388173.004,E01006801,66163.0,Liverpool,E08000012,Liverpool 046,E02001392,Liverpool 046D,640.0,2404608.3,3767.030797956811,3757.200469,3211.55,2013.0,3757.20046875,166317.53034499998
282518,4418,337817.63,395283.074,E01032510,319779.0,Liverpool,E08000012,Liverpool 008,E02001354,Liverpool 008F,964.0,3079451.75,3130.6554747721825,3194.452023,2689.9,2018.0,3194.452022821577,116622.01128175
57711,2599,340770.623,389020.214,E01006581,64123.0,Liverpool,E08000012,Liverpool 036,E02001382,Liverpool 036C,620.0,2453682.8,4098.330518698064,3957.5529030000002,3599.9,2013.0,3957.5529032258064,207687.2872
58298,5201,337591.338,397070.495,E01006654,64775.0,Liverpool,E08000012,Liverpool 005,E02001351,Liverpool 005A,641.0,2118504.075,3331.253922104889,3304.998557,2844.0,2015.0,3304.998556942278,131771.09375
59018,4051,340634.25200000004,383691.048,E01006738,65575.0,Liverpool,E08000012,Liverpool 058,E02001404,Liverpool 058A,674.0,2187444.2,3231.710187308623,3245.466172,2885.15,2015.0,3245.466172106825,81397.56944425001
57982,3622,336853.85799999995,394419.8870000001,E01006613,64424.0,Liverpool,E08000012,Liverpool 009,E02001355,Liverpool 009D,623.0,2038418.0,3413.0071759609536,3272.0,2940.0,2014.0,3271.939004815409,85477.9839465
58236,2424,341896.48299999995,393281.08700000006,E01006645,64706.0,Liverpool,E08000012,Liverpool 017,E02001363,Liverpool 017E,709.0,2042426.75,3080.678978730927,2880.714739,2480.3,2016.0,2880.714739069112,64792.48164675
59161,2666,344751.015,383345.449,E01006756,65734.0,Liverpool,E08000012,Liverpool 059,E02001405,Liverpool 059D,804.0,2686171.0,3425.082084661588,3341.0,2963.0,2014.0,3341.008706467662,70805.0099205
57960,3626,335718.224,394173.931,E01006611,64400.0,Liverpool,E08000012,Liverpool 012,E02001358,Liverpool 012A,808.0,2237871.3,2940.2173408953163,2769.6426980198016,2362.4,2010.0,2769.6426980198016,51465.28838775
57559,1793,335936.25700000004,392050.956,E01006564,63954.0,Liverpool,E08000012,Liverpool 023,E02001369,Liverpool 023B,799.0,2469211.0,3059.57755774549,3090.0,2739.0,2014.0,3090.376720901126,75463.63636375
58174,5568,341932.055,392612.671,E01006638,64637.0,Liverpool,E08000012,Liverpool 017,E02001363,Liverpool 017B,545.0,1748129.1,3001.850842445873,3207.57633,2759.1,2017.0,3207.576330275229,59567.14743575
58116,6060,336876.2720000001,386944.168,E01006628,64573.0,Liverpool,E08000012,Liverpool 052,E02001398,Liverpool 052D,666.0,2249526.3,3444.9700673407474,3377.667117,2833.85,2013.0,3377.6671171171165,165137.5051175
59284,3225,342508.781,388900.244,E01006770,65871.0,Liverpool,E08000012,Liverpool 040,E02001386,Liverpool 040C,499.0,1610300.7,3355.9863975492103,3227.055511,2998.0,2011.0,3227.055511022044,92264.1517855
292633,3013,335676.367,390839.728,E01033758,331208.0,Liverpool,E08000012,Liverpool 060,E02006932,Liverpool 060B,419.0,1435514.801,3171.401956185646,3426.0496450000005,2434.0,2017.0,3426.049644391408,82590.27777775
57266,3183,337491.695,386631.871,E01006528,63628.0,Liverpool,E08000012,Liverpool 052,E02001398,Liverpool 052C,637.0,2167987.067,3453.3512564260723,3403.433386,2743.5,2018.0,3403.433386185243,244181.88447
58223,2423,341504.219,393518.244,E01006644,64692.0,Liverpool,E08000012,Liverpool 017,E02001363,Liverpool 017D,1000.0,3268052.8,3702.9843869770452,3268.0528,2860.5,2012.0,3268.0528,129757.51811500001
292548,4935,338562.381,387832.101,E01033749,331114.0,Liverpool,E08000012,Liverpool 042,E02001388,Liverpool 042F,54.0,167499.5,3314.7372010085423,3101.842593,2495.25,2013.0,3101.8425925925926,101687.87946499999
57936,2719,336443.225,394760.1370000001,E01006608,64373.0,Liverpool,E08000012,Liverpool 009,E02001355,Liverpool 009A,550.0,1747801.9,3267.1521727876852,3177.821636,2776.65,2013.0,3177.8216363636357,77143.504902
58742,1893,335565.886,393475.929,E01006703,65268.0,Liverpool,E08000012,Liverpool 014,E02001360,Liverpool 014D,858.0,2191705.086,2847.8142645535404,2554.434832,2097.7,2018.0,2554.434832167832,64572.0238095
58415,1921,340631.079,395322.104,E01006667,64905.0,Liverpool,E08000012,Liverpool 007,E02001353,Liverpool 007C,630.0,2182513.2,3456.7592795144683,3464.306667000001,3071.25,2015.0,3464.306666666667,103941.2532075
58601,2722,339589.80700000003,385217.443,E01006688,65112.0,Liverpool,E08000012,Liverpool 056,E02001402,Liverpool 056E,753.0,2726393.7,3629.6562776286055,3620.708765,2941.2,2012.0,3620.7087649402392,170628.4860825
57159,3484,335219.845,389236.7020000001,E01006515,63510.0,Liverpool,E08000012,Liverpool 037,E02001383,Liverpool 037B,621.0,2343609.8,3551.502370152604,3773.92882447665,2772.5,2010.0,3773.92882447665,0.0
57461,5070,338399.785,388577.117,E01006550,63845.0,Liverpool,E08000012,Liverpool 038,E02001384,Liverpool 038A,579.0,2144920.6380000003,3378.0769999085246,3704.526144,3193.2,2015.0,3704.5261450777202,168953.62103
57924,2707,337153.93,394589.321,E01006607,64360.0,Liverpool,E08000012,Liverpool 008,E02001354,Liverpool 008A,659.0,2399840.1,3428.0914154739235,3641.6389984825496,3255.6,2010.0,3641.6389984825496,77460.125
57639,4451,339628.694,391049.356,E01006573,64043.0,Liverpool,E08000012,Liverpool 029,E02001375,Liverpool 029C,790.0,2326128.5,3045.870382689185,2944.4664559999997,2314.95,2013.0,2944.4664556962025,70575.3295455
59094,5536,335797.321,390818.485,E01006747,65660.0,Liverpool,E08000012,Liverpool 031,E02001377,Liverpool 031B,755.0,2677016.95,3709.965851397975,3545.7178145695366,2853.4,2010.0,3545.7178145695366,100539.43452225
