,Unnamed: 0,X,Y,LSOA code,Unnamed: 0.1,Local authority name,Local authority code,MSOA name,MSOA code,LSOA name,Total_number_of_domestic_electricity_meters,Total_domestic_electricity_consumption_kWh,Predicted_Electricity_Consumption_kWH,Mean_domestic_electricity_consumption_kWh_per_meter,Median_domestic_electricity_consumption_kWh_per_meter,Year,Ratio_Consumption_per_Meter,Mean_price_paid
297951,33008,197430.164,201427.948,W01000606,399866.0,Pembrokeshire,W06000009,Pembrokeshire 015,W02000140,Pembrokeshire 015B,751.0,2628113.6,3256.4007249220504,3499.485486,2923.2,2016.0,3499.485486018642,98060.76388875
297492,33764,191727.904,219168.141,W01000555,399356.0,Pembrokeshire,W06000009,Pembrokeshire 008,W02000133,Pembrokeshire 008A,624.0,2806736.1,4602.105719415536,4497.9745189999985,3645.05,2016.0,4497.974519230769,224755.949675
298073,33656,213290.202,200433.288,W01000620,400002.0,Pembrokeshire,W06000009,Pembrokeshire 016,W02000141,Pembrokeshire 016C,886.0,2832072.7,3189.5005107768297,3196.470316,2060.7,2012.0,3196.470316027089,190529.0251775
297533,34478,214684.236,236901.649,W01000560,399402.0,Pembrokeshire,W06000009,Pembrokeshire 001,W02000126,Pembrokeshire 001C,536.0,2790216.0,5009.010894212029,5205.626866,4222.75,2012.0,5205.626865671642,173353.15625
297643,33390,195873.638,216401.264,W01000572,399524.0,Pembrokeshire,W06000009,Pembrokeshire 005,W02000130,Pembrokeshire 005D,816.0,2892264.0,3602.2424986407077,3544.0,3019.0,2014.0,3544.4411764705883,153510.0446425
297875,34290,196357.8,205433.301,W01000598,399782.0,Pembrokeshire,W06000009,Pembrokeshire 009,W02000134,Pembrokeshire 009C,1109.0,3875631.3,3563.6008192382933,3494.708115,3050.1,2012.0,3494.708115419296,141983.507775
297544,34479,219810.688,232148.412,W01000561,399414.0,Pembrokeshire,W06000009,Pembrokeshire 001,W02000126,Pembrokeshire 001D,503.0,2726410.0,5080.138324416319,5420.0,4280.0,2014.0,5420.298210735586,175891.602565
298095,33654,186425.995,213612.906,W01000622,400026.0,Pembrokeshire,W06000009,Pembrokeshire 008,W02000133,Pembrokeshire 008E,935.0,4144892.7,4438.076047067965,4433.040321,3172.9,2016.0,4433.040320855615,222273.78418249998
297661,33388,195430.709,199833.773,W01000574,399544.0,Pembrokeshire,W06000009,Pembrokeshire 015,W02000140,Pembrokeshire 015A,884.0,4163299.0,4653.925036683482,4710.0,3552.0,2014.0,4709.614253393665,193935.4550525
298020,34323,183385.853,207342.556,W01000614,399943.0,Pembrokeshire,W06000009,Pembrokeshire 008,W02000133,Pembrokeshire 008D,775.0,3461875.0,4476.557998385952,4466.935484000001,3583.7,2013.0,4466.935483870968,233921.9056375
297484,33763,197539.044,207990.376,W01000554,399347.0,Pembrokeshire,W06000009,Pembrokeshire 009,W02000134,Pembrokeshire 009A,793.0,3665526.7,4610.994476185667,4622.353972,3717.6,2017.0,4622.353972257251,265076.67115999997
297474,33766,215284.938,207581.113,W01000553,399336.0,Pembrokeshire,W06000009,Pembrokeshire 011,W02000136,Pembrokeshire 011A,704.0,3281940.8,4708.665140949177,4661.847727,3512.7,2016.0,4661.847727272727,236854.349415
