,Unnamed: 0,X,Y,LSOA code,Unnamed: 0.1,Local authority name,Local authority code,MSOA name,MSOA code,LSOA name,Total_number_of_domestic_electricity_meters,Total_domestic_electricity_consumption_kWh,Predicted_Electricity_Consumption_kWH,Mean_domestic_electricity_consumption_kWh_per_meter,Median_domestic_electricity_consumption_kWh_per_meter,Year,Ratio_Consumption_per_Meter,Mean_price_paid
293623,34422,247078.29100000003,353161.88,W01000104,395057.0,Gwynedd,W06000002,Gwynedd 008,W02000017,Gwynedd 008C,874.0,3057817.0,3597.780364649998,3498.646453000001,2807.25,2017.0,3498.646453089245,110875.56818325
293293,34443,272965.128,317555.774,W01000068,394691.0,Gwynedd,W06000002,Gwynedd 016,W02000025,Gwynedd 016E,750.0,3072543.3,4358.525250384642,4096.7244,3258.55,2011.0,4096.7244,127059.579025
292734,32916,233364.895,373247.782,W01000002,394070.0,Isle of Anglesey,W06000001,Isle of Anglesey 007,W02000007,Isle of Anglesey 007B,727.0,4241223.0,5573.936420229917,5833.869325997249,4411.0,2010.0,5833.869325997249,217452.188435
303086,34598,295764.437,205438.031,W01001188,405572.0,Rhondda Cynon Taf,W06000016,Rhondda Cynon Taf 001,W02000252,Rhondda Cynon Taf 001C,605.0,1893574.4,3450.426838665773,3129.8750410000002,2634.3,2012.0,3129.875041322314,98028.86904675
308975,34563,317173.376,176157.87600000005,W01001855,412115.0,Cardiff,W06000015,Cardiff 042,W02000408,Cardiff 042A,734.0,2205180.8,3020.3076669700004,3004.333515,2456.0,2015.0,3004.3335149863756,133984.46505250002
302350,34585,294102.622,175892.225,W01001105,404754.0,Vale of Glamorgan,W06000014,The Vale of Glamorgan 001,W02000237,The Vale of Glamorgan 001A,1095.0,5648105.0,5014.932469360001,5158.0,4244.0,2014.0,5158.086757990866,358420.0865125
305133,33087,314246.195,197023.58,W01001417,407846.0,Caerphilly,W06000018,Caerphilly 008,W02000297,Caerphilly 008D,590.0,1990465.7,3305.7611232141535,3373.670678,3099.7,2016.0,3373.6706779661017,141691.4618275
298833,34512,253461.049,200492.485,W01000707,400846.0,Carmarthenshire,W06000010,Carmarthenshire 025,W02000166,Carmarthenshire 025D,629.0,2056465.9,3117.2454654428584,3269.421145,2850.1,2016.0,3269.4211446740856,100750.5244755
300169,32885,261834.039,191646.436,W01000860,402331.0,Swansea,W06000011,Swansea 027,W02000194,Swansea 027C,675.0,2626689.8,3926.7453253823896,3891.392296,3328.7,2011.0,3891.3922962962956,273691.0937475
294031,32906,299038.313,379602.966,W01000151,395511.0,Conwy,W06000003,Conwy 005,W02000031,Conwy 005C,617.0,2535952.5,4004.523842185541,4110.133712,3678.5,2011.0,4110.133711507293,111645.32051075
