,Model,Feature Variables,Explained Variance Score,MAE,MSE,R2-score
Lasso_Year_Price,Lasso,"Year, Price",0.21080211368912627,532.9171940240049,604146.2606910651,0.21079690514686178
Lasso_Year_Price_X_Y,Lasso,"Year, Price, X, Y",0.21690813605291837,531.9336933569432,599471.8031769652,0.21690320187816536
