,Model,Feature Variables,Explained Variance Score,MAE,MSE,R2-score
SimpleLinear_Year,Simple Linear,Year,0.030715644475123538,608.6294850495675,742005.5005628854,0.03070982054504723
SimpleLinear_Price,Simple Linear,Price,0.1541558950698827,564.9381889688466,647511.2005030985,0.15414879369678125
