,Model,Feature Variables,Explained Variance Score,MAE,MSE,R2-score
ElasticNet_Year_Price,ElasticNet,"Year, Price",0.21079216476327445,532.9348681321063,604153.8867991018,0.2107869430756616
ElasticNet_Year_Price_X_Y,ElasticNet,"Year, Price, X, Y",0.2168979488672369,531.951822873223,599479.6114159876,0.2168930018871983
