,Model,max_depth,Feature Variables,Explained Variance Score,MAE,MSE,R2_score
GradientBoosting: max_depth=5.00,GradientBoosting,5,"['Mean_price_paid', 'Year']",0.28930859972002154,502.2610231719643,544044.4473596382,0.2893085838141949
GradientBoosting: max_depth=10.00,GradientBoosting,10,"['Mean_price_paid', 'Year']",0.2808929451244282,504.670380722891,550486.7397241442,0.28089294441885837
GradientBoosting: max_depth=15.00,GradientBoosting,15,"['Mean_price_paid', 'Year']",0.248066313583853,515.0005794991071,575616.014255231,0.24806628881949666
GradientBoosting: max_depth=20.00,GradientBoosting,20,"['Mean_price_paid', 'Year']",0.18141854026967186,538.0348306905878,626635.8279549069,0.18141852901286182
