,Model,max_depth,Feature Variables,Explained Variance Score,MAE,MSE,R2_score
RandomForest: max_depth=5.00,RandomForest,5,"['Mean_price_paid', 'Year']",0.3491057309796872,424.9550736411965,347071.44960250845,0.3488860621354509
RandomForest: max_depth=10.00,RandomForest,10,"['Mean_price_paid', 'Year']",0.3358730038940214,429.84735531345143,354079.97880352155,0.33573790185912566
RandomForest: max_depth=15.00,RandomForest,15,"['Mean_price_paid', 'Year']",0.2801351418115542,447.13946529165764,383732.774646346,0.2801085820403185
RandomForest: max_depth=20.00,RandomForest,20,"['Mean_price_paid', 'Year']",0.2183418560516851,466.20060282831673,416657.14020836697,0.21834172297619436
RandomForest: max_depth=25.00,RandomForest,25,"['Mean_price_paid', 'Year']",0.18554653516633768,475.27305336076313,434140.9088716888,0.18554177508037628
RandomForest: max_depth=30.00,RandomForest,30,"['Mean_price_paid', 'Year']",0.17606473102132614,477.7846953708271,439197.54115543206,0.1760554178407594
RandomForest: max_depth=35.00,RandomForest,35,"['Mean_price_paid', 'Year']",0.17400528787375602,478.37279319346726,440295.9876112919,0.17399470729188726
RandomForest: max_depth=40.00,RandomForest,40,"['Mean_price_paid', 'Year']",0.1731933491387937,478.63660973854996,440729.7188196293,0.17318101767449368
