,Model,N_Neighbors,Feature Variables,Explained Variance Score,MAE,MSE,R2_score
kNN: n_neighbours=3.00,kNN,3,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5405269740243847,416.4547651156289,352724.1095902953,0.5392325053877547
kNN: n_neighbours=4.00,kNN,4,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5508971564691005,413.08279913029855,344823.6270197258,0.5495529951453086
kNN: n_neighbours=5.00,kNN,5,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5548940326140447,411.9591454180235,341820.9669409938,0.5534754039742844
kNN: n_neighbours=6.00,kNN,6,"['Mean_price_paid', 'Year', 'X', 'Y']",0.555983242451781,411.554495098452,341023.0747355889,0.5545176995885027
kNN: n_neighbours=7.00,kNN,7,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5542492646561508,412.4272798543795,342363.1956903462,0.5527670844249458
kNN: n_neighbours=8.00,kNN,8,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5529970018573809,413.42865221064716,343302.74475938425,0.5515397408472449
kNN: n_neighbours=9.00,kNN,9,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5517362939819643,414.2458859631984,344253.4796941178,0.5502977850466437
kNN: n_neighbours=10.00,kNN,10,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5501637480795312,415.19419499699677,345456.6736228646,0.5487260392061758
kNN: n_neighbours=11.00,kNN,11,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5473676372020571,416.3224262911153,347621.92529185046,0.5458975464561835
kNN: n_neighbours=12.00,kNN,12,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5452606445334187,416.96148527583847,349230.77930722584,0.5437958822554505
kNN: n_neighbours=13.00,kNN,13,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5438472102885282,417.6862306515213,350330.9388851738,0.5423587313530256
kNN: n_neighbours=14.00,kNN,14,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5420467440388627,418.61489963720544,351720.5480135432,0.5405434692284353
kNN: n_neighbours=15.00,kNN,15,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5401014363763765,419.49581557478086,353234.3952916507,0.538565913403376
