,Model,Feature Variables,Explained Variance Score,MAE,MSE,R2-score
Ridge_Year_Price,Ridge,"Year, Price",0.21080228300183412,532.9167984011306,604146.1308262182,0.21079707479078047
Ridge_Year_Price_X_Y,Ridge,"Year, Price, X, Y",0.21690831157986867,531.9332871578897,599471.6685611699,0.2169033777283017
