,Model,Feature Variables,Explained Variance Score,MAE,MSE,R2-score
BayesianRidge_Year_Price,BayesianRidge,"Year, Price",0.21080218119087368,532.9170373976663,604146.2089171492,0.21079697277971376
BayesianRidge_Year_Price_X_Y,BayesianRidge,"Year, Price, X, Y",0.2169081002039227,531.9337752191597,599471.8306697416,0.21690316596404058
